dataset,seed,method,unlearn_time,audit_time,total_time,lpr_acc
CIFAR100,456,SSD,14.917119026184082,1.9944078922271729,16.911526918411255,76.63299663299664
CIFAR100,456,Target,0.4193170070648193,2.132507801055908,2.5518248081207275,53.2996632996633
ModelNet10,123,Retrain,21.56541085243225,0.4817574024200439,22.04716825485229,72.36434108527132
ModelNet10,123,FT,2.155314922332764,0.1321513652801513,2.287466287612915,79.03100775193799
ModelNet10,123,Fisher,0.8134584426879883,0.351959228515625,1.1654176712036133,62.36434108527131
ModelNet10,123,Amnesiac,0.4617674350738525,0.1408278942108154,0.602595329284668,79.2248062015504
ModelNet10,123,UNSIR,3.1936638355255127,0.1396467685699463,3.333310604095459,66.08527131782945
ModelNet10,123,BU,0.804710865020752,0.1509115695953369,0.9556224346160888,78.83720930232559
ModelNet10,123,SSD,0.540198564529419,0.1541471481323242,0.6943457126617432,79.03100775193799
ModelNet10,123,Target,2.2452757358551025,0.177558422088623,2.4228341579437256,53.333333333333336
ModelNet10,456,Retrain,18.67848777770996,0.1747972965240478,18.85328507423401,75.69767441860465
ModelNet10,456,FT,1.599705934524536,0.1627380847930908,1.762444019317627,76.47286821705426
ModelNet10,456,Fisher,0.1325135231018066,0.1453449726104736,0.2778584957122803,66.27906976744185
ModelNet10,456,Amnesiac,0.56768798828125,0.1622233390808105,0.7299113273620605,79.8062015503876
ModelNet10,456,UNSIR,2.1898884773254395,0.1694893836975097,2.359377861022949,65.89147286821705
ModelNet10,456,BU,0.5411550998687744,0.1502344608306884,0.6913895606994629,69.41860465116278
ModelNet10,456,SSD,0.4608080387115478,0.147716999053955,0.6085250377655029,76.47286821705426
ModelNet10,456,Target,1.3879294395446775,0.1658713817596435,1.5538008213043213,59.80620155038759
ModelNet10,42,Retrain,17.533595323562622,0.2594013214111328,17.792996644973755,69.22480620155038
ModelNet10,42,FT,1.489588975906372,0.1080377101898193,1.5976266860961914,82.75193798449611
ModelNet10,42,Fisher,0.2229180335998535,0.1105637550354003,0.3334817886352539,65.69767441860465
ModelNet10,42,Amnesiac,0.3268983364105224,0.1187078952789306,0.4456062316894531,82.1705426356589
ModelNet10,42,UNSIR,2.04052209854126,0.1142513751983642,2.154773473739624,69.61240310077518
ModelNet10,42,BU,0.3446691036224365,0.1152856349945068,0.4599547386169433,85.50387596899225
ModelNet10,42,SSD,0.394716739654541,0.1150939464569091,0.5098106861114502,82.3643410852713
ModelNet10,42,Target,1.461364984512329,0.1348493099212646,1.5962142944335938,53.13953488372093
BrainTumor,42,Retrain,15.672601699829102,0.3228216171264648,15.995423316955566,83.19444444444444
BrainTumor,42,FT,1.5620620250701904,0.1635909080505371,1.7256529331207275,91.25
BrainTumor,42,Fisher,0.8528003692626953,0.2062594890594482,1.0590598583221436,79.44444444444446
BrainTumor,42,Amnesiac,0.8654942512512207,0.1838037967681884,1.0492980480194092,87.5
BrainTumor,42,UNSIR,3.062120199203491,0.1869900226593017,3.249110221862793,75.69444444444444
BrainTumor,42,BU,0.9915893077850342,0.1713039875030517,1.162893295288086,89.58333333333333
BrainTumor,42,SSD,0.5777716636657715,0.1665596961975097,0.7443313598632812,91.38888888888889
BrainTumor,42,Target,2.441164970397949,0.2229311466217041,2.6640961170196533,76.25
BrainTumor,123,Retrain,16.898178100585938,0.1864864826202392,17.084664583206177,80.13888888888889
BrainTumor,123,FT,1.6052656173706057,0.1654484272003173,1.7707140445709229,90.9722222222222
BrainTumor,123,Fisher,0.1824262142181396,0.1942241191864013,0.376650333404541,77.77777777777779
BrainTumor,123,Amnesiac,0.8817751407623291,0.17669677734375,1.058471918106079,86.25
BrainTumor,123,UNSIR,2.5461010932922363,0.1818974018096923,2.7279984951019287,76.25
BrainTumor,123,BU,1.064556360244751,0.2116034030914306,1.2761597633361816,87.63888888888889
BrainTumor,123,SSD,0.611128568649292,0.2055318355560302,0.8166604042053223,91.25
BrainTumor,123,Target,1.3998606204986572,0.2387664318084716,1.638627052307129,80.0
