dataset,architecture,seed,method,dr_acc,yu_acc,lpr_acc,lpr_auroc,cka_original,cka_retrain,separability,runtime
CIFAR10,resnet18,123,SSD,89.9888888888889,87.2,90.7777777777778,0.9835666666666668,0.9999973661345072,0.9886155299218744,0.242492902595999,15.990347385406494
CIFAR10,resnet18,123,Target,22.57777777777778,0.0,83.35185185185185,0.9605012345679012,0.9259575024465884,0.9343238753277808,0.0719550700045577,0.4599447250366211
CIFAR10,resnet18,456,Retrain,89.66666666666667,0.0,83.6111111111111,0.9574975308641976,0.9894174100937848,1.0000000199598236,0.090607754414867,893.3576517105103
CIFAR10,resnet18,456,FT,89.63333333333334,48.7,90.4074074074074,0.9856987654320988,0.998691535298358,0.9891616045549132,0.1687062238537179,70.59241533279419
CIFAR10,resnet18,456,Fisher,11.077777777777778,0.0,70.2037037037037,0.8668518518518518,0.0,0.0,0.0,1.59051513671875
CIFAR10,resnet18,456,Amnesiac,69.62222222222222,13.5,86.92592592592592,0.9707308641975309,0.9813381678805256,0.9746537517188724,0.0980910561822616,7.977957010269165
CIFAR10,resnet18,456,UNSIR,22.8,0.0,69.9814814814815,0.8682987654320987,0.9457174254736368,0.943468246731555,0.1139288788757597,83.55046010017395
CIFAR10,resnet18,456,BU,49.04444444444445,0.0,87.01851851851852,0.9754135802469136,0.9581382800369952,0.9497041428702708,0.1622806834828159,8.20711350440979
CIFAR10,resnet18,456,SSD,89.34444444444445,91.0,91.8148148148148,0.9878617283950616,0.99999995689811,0.9893908966690502,0.2563159917402729,16.27759552001953
CIFAR10,resnet18,456,Target,26.18888888888889,0.0,80.0185185185185,0.952132098765432,0.92974433526089,0.9344002098210298,0.0812162756173796,0.4715564250946045
CIFAR100,resnet18,42,Retrain,62.4040404040404,0.0,68.18181818181817,0.9615375982042648,0.9917562816729396,0.9999999614320516,0.388415209731325,940.2352011203766
CIFAR100,resnet18,42,FT,61.45454545454545,31.0,81.5993265993266,0.9896296296296296,0.9987343642293692,0.9912009120826398,0.7155158468041463,76.26450967788696
CIFAR100,resnet18,42,Fisher,1.0707070707070707,0.0,61.41414141414141,0.880246913580247,0.0,0.0,0.0,0.243732213973999
CIFAR100,resnet18,42,Amnesiac,30.41414141414141,0.0,76.56565656565657,0.9897306397306396,0.9841131054812956,0.978062639057996,0.2815923462703578,0.7935624122619629
CIFAR100,resnet18,42,UNSIR,2.333333333333333,0.0,68.08080808080807,0.9063299663299664,0.9628271331353928,0.9607081170111976,0.2868874334759968,80.32521438598633
CIFAR100,resnet18,42,BU,31.474747474747478,0.0,79.8821548821549,0.991189674523008,0.9806527009517972,0.9763107106338694,0.362642500934183,0.7919354438781738
CIFAR100,resnet18,42,SSD,62.686868686868685,70.0,84.91582491582491,0.9883838383838384,1.0000000245163143,0.9918388169546812,0.7130634764739707,15.424052238464355
CIFAR100,resnet18,42,Target,1.0101010101010102,0.0,54.94949494949495,0.7920650953984288,0.6167941389085707,0.6110955194380184,0.038268719290974,0.4292528629302978
CIFAR100,resnet18,123,Retrain,62.333333333333336,0.0,73.18181818181819,0.9718742985409652,0.9921710847456618,1.000000005880979,0.47847445488552,921.8666219711304
CIFAR100,resnet18,123,FT,62.51515151515152,35.0,74.94949494949495,0.958294051627385,0.998817170993045,0.99145104815527,0.5971911886849276,76.87139749526978
CIFAR100,resnet18,123,Fisher,0.6767676767676768,0.0,56.447811447811446,0.883838383838384,0.0,0.0,0.0,0.1766996383666992
CIFAR100,resnet18,123,Amnesiac,31.12121212121212,0.0,71.56565656565657,0.951952861952862,0.9864497857412942,0.9787259257706004,0.2631955920810279,0.8963603973388672
CIFAR100,resnet18,123,UNSIR,2.5656565656565657,0.0,68.11447811447812,0.9231874298540964,0.9568788660740768,0.958246231986551,0.2792375050690575,80.83551621437073
CIFAR100,resnet18,123,BU,36.5959595959596,0.0,74.94949494949495,0.9717957351290684,0.9889336457018152,0.9816021927760704,0.3565009297368444,0.781933069229126
