dataset,forget_class,seed,method,dr_acc,yu_acc,lpr_acc,lpr_auroc,cka_original,cka_retrain,separability
ModelNet10,0,42,BU,71.44522144522145,4.0,82.3643410852713,0.9062015503875968,0.9610418170026348,0.9552459735995236,0.1688416541762753
ModelNet10,0,42,Target,10.023310023310025,0.0,50.0,0.8036175710594315,0.805317639833069,0.7945091953225275,0.0002703949547184
ModelNet10,0,123,Retrain,81.93473193473193,0.0,66.27906976744185,0.8798449612403101,0.9905680966760004,0.9999999535111044,0.1175940067864497
ModelNet10,0,123,FT,82.28438228438229,58.0,79.03100775193799,0.9165374677002583,0.9994869427455354,0.9904292415935788,0.2265299253073037
ModelNet10,0,123,BU,70.3962703962704,6.0,79.2248062015504,0.9170542635658916,0.9671009271453396,0.9641529275829344,0.1535743175957165
ModelNet10,0,123,Target,11.655011655011656,0.0,61.589147286821714,0.8956072351421189,0.7722464701067113,0.7619275209897117,0.0015946264640556
ModelNet10,0,456,Retrain,82.63403263403264,0.0,76.08527131782945,0.9397932816537468,0.9903310925751956,1.0000000478151645,0.1463067864726425
ModelNet10,0,456,FT,80.18648018648018,54.0,73.13953488372094,0.9348837209302324,0.9996886159002965,0.9903163855610816,0.2496543721002425
ModelNet10,0,456,BU,78.9044289044289,12.0,69.61240310077518,0.917312661498708,0.9798282451403016,0.9701750813435904,0.155565300732313
ModelNet10,0,456,Target,11.655011655011656,0.0,56.27906976744186,0.8454780361757106,0.7384869799408196,0.7157675808584968,0.0003559232836406
ModelNet10,3,42,Retrain,83.33333333333333,0.0,63.8663967611336,0.8522267206477733,0.9893949633169264,0.9999999962908128,0.0973612306484404
ModelNet10,3,42,FT,81.75182481751825,45.34883720930232,63.1578947368421,0.8671753347866707,0.9991064020493452,0.9882129782213102,0.207400766560744
ModelNet10,3,42,BU,65.20681265206812,1.162790697674419,61.63967611336032,0.8601681719090626,0.9323311616517962,0.9300803311902148,0.1693674591086908
ModelNet10,3,42,Target,6.082725060827251,0.0,51.31578947368421,0.7767050763002179,0.9477527726434704,0.9416992672455116,0.0071858553801933
ModelNet10,3,123,Retrain,83.33333333333333,0.0,68.7246963562753,0.8888196823419495,0.9892021306142214,0.999999984714693,0.0990804450064053
ModelNet10,3,123,FT,83.94160583941606,56.97674418604651,71.05263157894737,0.9151354718156336,0.9993614173058007,0.9881559587315532,0.2321449839903787
ModelNet10,3,123,BU,64.84184914841849,0.0,74.1902834008097,0.9190283400809716,0.9377077949839288,0.9292873282295412,0.1429721933091828
ModelNet10,3,123,Target,10.46228710462287,0.0,51.92307692307693,0.7167549050140143,0.9419478628281844,0.9321068646999798,0.2522674359639406
ModelNet10,3,456,Retrain,84.30656934306569,0.0,62.04453441295546,0.8461538461538461,0.9905870731832046,0.999999956697686,0.1066315520605363
ModelNet10,3,456,FT,82.9683698296837,52.325581395348834,67.81376518218623,0.9092183120523202,0.9992094281787433,0.9887957233307912,0.1909786911853239
ModelNet10,3,456,BU,57.2992700729927,1.162790697674419,69.73684210526315,0.9056368732482094,0.9038880881452648,0.9071520961524792,0.1791512781450161
ModelNet10,3,456,Target,6.082725060827251,0.0,50.0,0.6245717844908129,0.6053208439041167,0.6139365107130823,0.1868453574731118
ModelNet10,6,42,Retrain,82.84671532846716,0.0,80.36437246963564,0.9578013080037372,0.98964171070176,1.0000000045844455,0.3375029106055295
ModelNet10,6,42,FT,81.14355231143553,54.65116279069768,72.46963562753037,0.950794145126129,0.99905719834742,0.9896269667927928,0.4228221877098067
ModelNet10,6,42,BU,53.771289537712896,1.162790697674419,70.54655870445345,0.9475241357832452,0.9594082464527268,0.9482252967543708,0.2104401810595244
ModelNet10,6,42,Target,6.082725060827251,0.0,59.0080971659919,0.9015882902522578,0.9458954972156884,0.9342810259378806,0.063581014822676
ModelNet10,6,123,Retrain,81.99513381995133,0.0,69.02834008097166,0.9592027405792588,0.9889528259522146,1.0000000442483152,0.3099233228862138
ModelNet10,6,123,FT,83.21167883211679,61.627906976744185,77.83400809716599,0.9643413266895048,0.999182845600722,0.9892167289476748,0.4480097794578571
