dataset,forget_class,seed,method,dr_acc,yu_acc,lpr_acc,lpr_auroc,cka_original,cka_retrain,separability
ModelNet10,6,123,BU,68.24817518248175,0.0,76.3157894736842,0.9629398941139832,0.9619701563927304,0.9411152438669224,0.2232912008649326
ModelNet10,6,123,Target,12.1654501216545,0.0,57.08502024291497,0.8972282777950793,0.6848232210151969,0.6618234757733091,0.1606320784063754
ModelNet10,6,456,Retrain,83.81995133819952,0.0,68.21862348178138,0.9551541575833074,0.9883152858000988,1.0000000348098397,0.3048030335830387
ModelNet10,6,456,FT,81.02189781021897,58.13953488372093,77.63157894736842,0.9635627530364372,0.9987737767724552,0.9871776327743244,0.4855341960441386
ModelNet10,6,456,BU,64.84184914841849,3.488372093023256,81.2753036437247,0.9615384615384616,0.9476943617464684,0.9236978960880272,0.2363476955607317
ModelNet10,6,456,Target,6.082725060827251,0.0,60.526315789473685,0.8631267517907194,0.9172652892041548,0.9059631281075003,0.016609091168401
ModelNet10,9,42,Retrain,78.7128712871287,0.0,87.92181069958849,0.9853223593964336,0.9855350505201008,0.9999999815224994,0.6093234810622894
ModelNet10,9,42,FT,77.22772277227723,96.0,95.0,0.9851851851851852,0.9959540632533188,0.9791059499107168,1.7335803535882577
ModelNet10,9,42,BU,50.742574257425744,0.0,94.58847736625516,0.9703703703703704,0.9433832000290678,0.9403363286440656,0.7763418205404871
ModelNet10,9,42,Target,10.643564356435643,0.0,75.22633744855966,0.9138545953360768,0.9294826148649912,0.9314268955490416,2.270852621617556
ModelNet10,9,123,Retrain,78.7128712871287,0.0,91.46090534979425,0.9935528120713304,0.9846679739063172,0.9999999966251376,0.5898442894396572
ModelNet10,9,123,FT,79.20792079207921,96.0,91.66666666666669,0.97201646090535,0.9959078753286044,0.9736544290695996,2.0150541840503884
ModelNet10,9,123,BU,66.46039603960396,0.0,94.58847736625516,0.9722908093278464,0.9481399197049774,0.9596991527504474,0.5590113127797163
ModelNet10,9,123,Target,10.643564356435643,0.0,81.2551440329218,0.9676268861454048,0.8816265301953105,0.8682436851920486,3.418396697911533
ModelNet10,9,456,Retrain,79.33168316831683,0.0,93.12757201646092,0.9805212620027436,0.9856736861276996,0.9999999559414504,0.6493634733993328
ModelNet10,9,456,FT,76.73267326732673,94.0,96.66666666666669,0.9891632373113854,0.9963016914287172,0.9788824299950674,1.6863170307501698
ModelNet10,9,456,BU,51.36138613861386,0.0,95.0,0.98079561042524,0.9328183698270744,0.9282567367923652,0.4480754407754896
ModelNet10,9,456,Target,12.376237623762377,0.0,80.84362139917695,0.9360768175582992,0.9428600326223362,0.9454346475180664,0.0746950540542711
BrainTumor,0,42,Retrain,98.83333333333331,0.0,78.05555555555556,0.8950925925925927,0.9746562561742108,0.9999999786256164,0.194939622143296
BrainTumor,0,42,FT,98.5,78.0,90.83333333333331,0.9728703703703704,0.9851997881212904,0.9814532613787604,0.5612705741279957
BrainTumor,0,42,BU,75.91666666666667,0.0,90.69444444444444,0.9674305555555556,0.9297906317808458,0.9255887306863976,0.200449378805487
