dataset,architecture,forget_ratio,seed,method,dr_acc,lpr_acc,lpr_auroc
BrainTumor,resnet18,0.05,456,Retrain,93.3125,46.42857142857143,0.47959183673469385
BrainTumor,resnet18,0.05,456,FT,93.375,45.83333333333333,0.4556405895691609
BrainTumor,resnet18,0.05,456,Amnesiac,25.0,44.64285714285714,0.4560657596371882
BrainTumor,resnet18,0.05,456,UNSIR,36.75,50.0,0.5226757369614512
BrainTumor,resnet18,0.05,456,BU,20.1875,51.78571428571428,0.5080782312925171
BrainTumor,resnet18,0.05,456,Target,32.875,52.38095238095239,0.5072278911564626
BrainTumor,resnet18,0.1,42,Retrain,92.75,52.08333333333333,0.507954223356009
BrainTumor,resnet18,0.1,42,FT,93.0,45.833333333333336,0.4487670068027211
BrainTumor,resnet18,0.1,42,Amnesiac,27.5625,49.4047619047619,0.5030293367346939
BrainTumor,resnet18,0.1,42,UNSIR,25.5625,48.51190476190476,0.49309098639455784
BrainTumor,resnet18,0.1,42,BU,15.5625,49.10714285714286,0.47091128117913833
BrainTumor,resnet18,0.1,42,Target,22.125,47.916666666666664,0.47771400226757377
BrainTumor,resnet18,0.1,123,Retrain,93.1875,52.67857142857143,0.5340844671201814
BrainTumor,resnet18,0.1,123,FT,93.0625,52.976190476190474,0.5073696145124718
BrainTumor,resnet18,0.1,123,Amnesiac,25.125,51.78571428571428,0.5070507369614512
BrainTumor,resnet18,0.1,123,UNSIR,41.1875,52.976190476190474,0.511125283446712
BrainTumor,resnet18,0.1,123,BU,12.8125,50.297619047619044,0.5205144557823129
BrainTumor,resnet18,0.1,123,Target,25.0,46.42857142857143,0.48334750566893425
BrainTumor,resnet18,0.1,456,Retrain,93.0625,50.595238095238095,0.49914965986394555
BrainTumor,resnet18,0.1,456,FT,93.4375,48.21428571428571,0.5020195578231292
BrainTumor,resnet18,0.1,456,Amnesiac,33.1875,49.10714285714286,0.4774305555555556
BrainTumor,resnet18,0.1,456,UNSIR,38.125,47.32142857142857,0.48210742630385484
BrainTumor,resnet18,0.1,456,BU,13.125,49.404761904761905,0.5070861678004536
BrainTumor,resnet18,0.1,456,Target,38.4375,47.916666666666664,0.4851190476190476
COVID19,resnet18,0.05,42,Retrain,91.89508506616257,49.90118577075099,0.4852634527403442
COVID19,resnet18,0.05,42,FT,91.5406427221172,48.92393638542218,0.518533503470169
COVID19,resnet18,0.05,42,Amnesiac,13.32703213610586,54.234228626560025,0.552923967508014
COVID19,resnet18,0.05,42,UNSIR,58.955576559546316,49.9035199651427,0.48850020229684726
COVID19,resnet18,0.05,42,BU,10.113421550094518,52.2688369487411,0.5320562696461362
COVID19,resnet18,0.05,42,Target,40.571833648393195,47.53042233357194,0.4978992250474619
COVID19,resnet18,0.05,123,Retrain,91.77693761814744,51.880582614920165,0.5036257819551212
COVID19,resnet18,0.05,123,FT,91.98960302457466,51.0861784569419,0.5107839780896952
COVID19,resnet18,0.05,123,Amnesiac,15.122873345935728,51.8813606797174,0.5344215866297346
COVID19,resnet18,0.05,123,UNSIR,58.790170132325144,49.6957766642806,0.4807039930285394
COVID19,resnet18,0.05,123,BU,14.012287334593573,50.10970713641032,0.5028165945659955
COVID19,resnet18,0.05,123,Target,57.774102079395085,51.6798418972332,0.518019980703993
COVID19,resnet18,0.05,456,Retrain,91.7296786389414,52.26339049516044,0.5257072609006879
COVID19,resnet18,0.05,456,FT,91.70604914933837,48.92315832062494,0.4939466558775014
COVID19,resnet18,0.05,456,Amnesiac,15.926275992438564,51.478323114749,0.5053842083968753
COVID19,resnet18,0.05,456,UNSIR,60.08979206049149,56.01132862344775,0.5635990165260963
COVID19,resnet18,0.05,456,BU,12.287334593572778,47.7311630512589,0.4746039650182068
COVID19,resnet18,0.05,456,Target,48.534971644612476,49.31063458964863,0.5022875105038748
COVID19,resnet18,0.1,42,Retrain,91.68241965973534,48.12992125984252,0.4896421042842085
COVID19,resnet18,0.1,42,FT,88.77599243856332,49.11417322834646,0.47310744621489237
COVID19,resnet18,0.1,42,Amnesiac,22.755198487712665,51.67322834645669,0.5170694091388183
COVID19,resnet18,0.1,42,UNSIR,59.640831758034025,48.818897637795274,0.48441471882943765
COVID19,resnet18,0.1,42,BU,8.246691871455576,52.06692913385827,0.5275474300948603
COVID19,resnet18,0.1,42,Target,49.64555765595463,47.83464566929133,0.4779783309566619
COVID19,resnet18,0.1,123,Retrain,91.56427221172022,52.362204724409445,0.5369636989273979
COVID19,resnet18,0.1,123,FT,91.58790170132325,50.78740157480315,0.5090985181970364
COVID19,resnet18,0.1,123,Amnesiac,24.62192816635161,49.01574803149607,0.4734678219356439
COVID19,resnet18,0.1,123,UNSIR,56.332703213610586,52.16535433070866,0.516003782007564
COVID19,resnet18,0.1,123,BU,8.199432892249527,51.67322834645669,0.5143569037138075
COVID19,resnet18,0.1,123,Target,53.56805293005671,49.90157480314961,0.4971479942959886
COVID19,resnet18,0.1,456,Retrain,91.65879017013232,48.818897637795274,0.47359957219914434
COVID19,resnet18,0.1,456,FT,91.18620037807183,51.27952755905512,0.5131827763655528
COVID19,resnet18,0.1,456,Amnesiac,25.61436672967864,53.64173228346456,0.5491970983941968
COVID19,resnet18,0.1,456,UNSIR,46.975425330812854,49.50787401574803,0.4836319672639345
COVID19,resnet18,0.1,456,BU,9.829867674858223,51.37795275590551,0.508005766011532
COVID19,resnet18,0.1,456,Target,31.545368620037806,49.70472440944882,0.4849184698369397
YahooAnswers,mlp,0.05,42,Retrain,61.2,53.70734954984543,0.5468030457722596
YahooAnswers,mlp,0.05,42,FT,61.17,48.895586271891936,0.4784427364828684
YahooAnswers,mlp,0.05,42,Amnesiac,46.28,47.560472787245736,0.4792816446884617
YahooAnswers,mlp,0.05,42,UNSIR,40.05,52.4386347572164,0.5253751883081185
YahooAnswers,mlp,0.05,42,BU,34.6,47.560383541691955,0.476791693737818
YahooAnswers,mlp,0.05,42,Target,57.42,49.161984249944666,0.48593222335663233
YahooAnswers,mlp,0.05,123,Retrain,61.32,50.837123294517475,0.5134787559883767
YahooAnswers,mlp,0.05,123,FT,60.81,49.833824778849525,0.49722178591062594
YahooAnswers,mlp,0.05,123,Amnesiac,46.49,50.168406359995146,0.5096536915530868
YahooAnswers,mlp,0.05,123,UNSIR,39.92,50.434536601386526,0.5044274719233488
YahooAnswers,mlp,0.05,123,BU,37.1,50.16804937778,0.5034511255649243
YahooAnswers,mlp,0.05,123,Target,57.41,48.096838565502665,0.48246771095864005
YahooAnswers,mlp,0.05,456,Retrain,61.48,51.56857985335171,0.5166228768482753
YahooAnswers,mlp,0.05,456,FT,61.12,50.03453802931538,0.48955470038482685
YahooAnswers,mlp,0.05,456,Amnesiac,47.4,49.16475086211205,0.48815711501253006
YahooAnswers,mlp,0.05,456,UNSIR,39.18,50.23400184202823,0.5188754346258468
YahooAnswers,mlp,0.05,456,BU,41.2,49.76671212240206,0.4910415313109101
YahooAnswers,mlp,0.05,456,Target,57.04,49.03213196918529,0.4902633100818916
YahooAnswers,mlp,0.1,42,Retrain,61.32,52.6,0.5377884444444444
YahooAnswers,mlp,0.1,42,FT,61.41,51.86666666666666,0.519072
YahooAnswers,mlp,0.1,42,Amnesiac,24.71,51.66666666666667,0.5238631111111112
